ID,DESC_CLASIFICACION,address_id,LOCALIDAD,COD_POSTAL,COD_BARRIO,BARRIO,COD_DISTRITO,DISTRITO,TIPO_VIA,NOM_VIA,NUM_VIA,ESTADO,ID_GEO,LATITUD,LONGITUD,USO,MODELO
9049061,Fuentes de beber,9049061_adress,Madrid,28018,133,PALOMERAS BAJAS,13,PUENTE DE VALLECAS,CALLE,MARIA TERESA ROBLEDO,3,OPERATIVO,9049061_geo,40.38781693,-3.6580433,MASCOTAS,BEBEDERO NEPTUNO
9127172,Fuentes de beber,9127172_adress,Madrid,28019,113,SAN ISIDRO,11,CARABANCHEL,PASEO,ERMITA DEL SANTO,76,OPERATIVO,9127172_geo,40.39796997,-3.7294762,MASCOTAS,BEBEDERO NEPTUNO
9179667,Fuentes de beber,9179667_adress,Madrid,28021,174,LOS ROSALES,17,VILLAVERDE,CALLE,EDUARDO MINGUITO,55,OPERATIVO,9179667_geo,40.3485514,-3.68731295,PERSONAS Y MASCOTAS,MIXTA ESTELA
9199241,Fuentes de beber,9199241_adress,Madrid,28021,171,VILLAVERDE ALTO - CASCO HISTORICO DE VILLAVERDE,17,VILLAVERDE,CALLE,SAN EUSTAQUIO,26,OPERATIVO,9199241_geo,40.33349535,-3.7016317,PERSONAS Y MASCOTAS,MIXTA ESTELA
9272894,Fuentes de beber,9272894_adress,Madrid,28027,154,LA CONCEPCIÓN,15,CIUDAD LINEAL,CALLE,VIRGEN DE LLUC,1,OPERATIVO,9272894_geo,40.43477358,-3.65473509,PERSONAS Y MASCOTAS,MIXTA NEPTUNO
9185054,Fuentes de beber,9185054_adress,Madrid,28044,107,AGUILAS,10,LATINA,CALLE,ONIL,12,OPERATIVO,9185054_geo,40.38846992,-3.76692801,PERSONAS Y MASCOTAS,MIXTA ESTELA
9191525,Fuentes de beber,9191525_adress,Madrid,28050,166,VALDEFUENTES,16,HORTALEZA,CALLE,VICENTE BLASCO IBAÑEZ,81,OPERATIVO,9191525_geo,40.50307104,-3.65383588,PERSONAS Y MASCOTAS,MIXTA TERRIER
9198730,Fuentes de beber,9198730_adress,Madrid,28051,183,ENSANCHE DE VALLECAS,18,VILLA DE VALLECAS,CALLE,CORRAL DE ALMAGUER,29,OPERATIVO,9198730_geo,40.36958344,-3.60991376,PERSONAS Y MASCOTAS,MIXTA ESTELA
9212801,Fuentes de beber,9212801_adress,Madrid,28021,172,SAN CRISTOBAL,17,VILLAVERDE,CALLE,PATERNA,45D,OPERATIVO,9212801_geo,40.34029944,-3.68438398,PERSONAS Y MASCOTAS,MIXTA ESTELA
9278148,Fuentes de beber,9278148_adress,Madrid,28041,123,SAN FERMIN,12,USERA,CAMINO,PERALES,156,OPERATIVO,9278148_geo,40.36728652,-3.68566121,PERSONAS Y MASCOTAS,MIXTA ESTELA
9278180,Fuentes de beber,9278180_adress,Madrid,28021,171,VILLAVERDE ALTO - CASCO HISTORICO DE VILLAVERDE,17,VILLAVERDE,PASEO,FERROVIARIOS,45,OPERATIVO,9278180_geo,40.34584361,-3.71661576,PERSONAS Y MASCOTAS,MIXTA ESTELA
9285545,Fuentes de beber,9285545_adress,Madrid,28031,182,SANTA EUGENIA,18,VILLA DE VALLECAS,CALLE,SIERRA GORDA,31,OPERATIVO,9285545_geo,40.3811575,-3.61625635,PERSONAS Y MASCOTAS,MIXTA ESTELA
9290189,Fuentes de beber,9290189_adress,Madrid,28037,204,ARCOS,20,SAN BLAS - CANILLEJAS,CALLE,ARCOS DE JALON,20,OPERATIVO,9290189_geo,40.42061503,-3.62172427,PERSONAS Y MASCOTAS,MIXTA ESTELA
9291966,Fuentes de beber,9291966_adress,Madrid,28041,174,LOS ROSALES,17,VILLAVERDE,CALLE,VILLAJOYOSA,75,OPERATIVO,9291966_geo,40.35532259,-3.69042728,PERSONAS Y MASCOTAS,MIXTA ESTELA
9295074,Fuentes de beber,9295074_adress,Madrid,28044,116,BUENAVISTA,11,CARABANCHEL,CAMINO,CRUCES,6,OPERATIVO,9295074_geo,40.3746407,-3.75557245,PERSONAS Y MASCOTAS,MIXTA ESTELA
9284711,Fuentes de beber,9284711_adress,Madrid,28026,127,PRADOLONGO,12,USERA,AVENIDA,RAFAELA YBARRA,75,OPERATIVO,9284711_geo,40.37777992,-3.71191118,PERSONAS Y MASCOTAS,MIXTA ESTELA
9289989,Fuentes de beber,9289989_adress,Madrid,28041,122,ORCASUR,12,USERA,AVENIDA,POBLADOS,154,OPERATIVO,9289989_geo,40.37086731,-3.69977914,PERSONAS Y MASCOTAS,MIXTA ESTELA
9291850,Fuentes de beber,9291850_adress,Madrid,28035,084,PILAR,08,FUENCARRAL - EL PARDO,AVENIDA,MONFORTE DE LEMOS,180,OPERATIVO,9291850_geo,40.47759971,-3.71600875,PERSONAS Y MASCOTAS,MIXTA ESTELA
9295075,Fuentes de beber,9295075_adress,Madrid,28018,134,PALOMERAS SURESTE,13,PUENTE DE VALLECAS,CALLE,ARAGONESES,4,OPERATIVO,9295075_geo,40.38204584,-3.64412738,PERSONAS Y MASCOTAS,MIXTA ESTELA
9310078,Fuentes de beber,9310078_adress,Madrid,28022,205,ROSAS,20,SAN BLAS - CANILLEJAS,CALLE,SOFIA,12,OPERATIVO,9310078_geo,40.42320297,-3.60038184,PERSONAS Y MASCOTAS,MIXTA NEPTUNO
9295144,Fuentes de beber,9295144_adress,Madrid,28038,136,NUMANCIA,13,PUENTE DE VALLECAS,CALLE,RAMON PEREZ DE AYALA,15,OPERATIVO,9295144_geo,40.399755,-3.64986723,PERSONAS Y MASCOTAS,MIXTA ESTELA
9296045,Fuentes de beber,9296045_adress,Madrid,28044,107,AGUILAS,10,LATINA,AVENIDA,LAS AGUILAS,1 B,OPERATIVO,9296045_geo,40.38484992,-3.76272919,PERSONAS Y MASCOTAS,MIXTA ESTELA
9310059,Fuentes de beber,9310059_adress,Madrid,28005,011,PALACIO,01,CENTRO,CALLE,SEGOVIA,39,OPERATIVO,9310059_geo,40.41382065,-3.71636747,PERSONAS Y MASCOTAS,MIXTA ESTELA
9310077,Fuentes de beber,9310077_adress,Madrid,28022,205,ROSAS,20,SAN BLAS - CANILLEJAS,CALLE,ESTOCOLMO,26 K,OPERATIVO,9310077_geo,40.43017681,-3.6001684,PERSONAS Y MASCOTAS,MIXTA NEPTUNO
